Ancient Axe            9gi
Ancient Sword          9wd
Arbalest               8lx
Archon Staff           6ws
Ashwood Bow            am6
Ataghan                7sm
Axe                    axe
Balanced Axe           bal
Balanced Knife         bkf
Balista                8hx
Balrog Blade           7gs
Balrog Spear           7s7
Barbed Club            9sp
Bardiche               bar
Bastard Sword          bsw
Battle Axe             btx
Battle Cestus          7cs
Battle Dart            9tk
Battle Hammer          9wh
Battle Scythe          9s8
Battle Staff           bst
Battle Sword           9bs
Bearded Axe            9ba
Bec-de-Corbin          9h9
Berserker Axe          7wa
Bill                   9vo
Blade                  bld
Blade Bow              6hb
Blade Talons           btl
Bone Knife             7dg
Bone Wand              bwn
Brandistock            brn
Broad Axe              bax
Broad Sword            bsd
Burnt Wand             9wn
Caduceus               7ws
Cedar Bow              8lb
Cedar Staff            8cs
Ceremonial Bow         am7
Ceremonial Javelin     ama
Ceremonial Pike        am9
Ceremonial Spear       am8
Cestus                 ces
Champion Axe           7ga
Champion Sword         7b7
Choking Gas Potion     gpm
Chu-Ko-Nu              8rx
Cinquedeas             9kr
Clasped Orb            ob4
Claws                  clw
Claymore               clm
Cleaver                9ax
Cloudy Sphere          ob8
Club                   clb
Colossal Sword         7fb
Colossus Blade         7gd
Colossus Crossbow      6hx
Colossus Voulge        7vo
Composite Bow          cbw
Conquest Sword         7bs
Crossbow               mxb
Crowbill               9mp
Crusader Bow           6l7
Cryptic Axe            7pa
Cryptic Sword          7ls
Crystal Sword          crs
Crystalline Globe      ob7
Cudgel                 9cl
Cutlass                9sm
Dacian Falx            9cm
Dagger                 dgr
Decapitator            7bt
Demon Crossbow         6rx
Demon Heart            obd
Devil Star             7mt
Diamond Bow            6s7
Dimensional Blade      9cr
Dimensional Shard      obf
Dirk                   dir
Divine Scepter         9ws
Double Axe             2ax
Double Bow             8cb
Dragon Stone           ob5
Eagle Orb              ob1
Edge Bow               8sb
Elder Staff            6cs
Eldritch Orb           obc
Elegant Blade          7sb
Espadon                92h
Ettin Axe              72a
Executioner Sword      9gd
Exploding Potion       opm
Falcata                7ss
Falchion               flc
Fanged Knife           7kr
Fascia                 9xf
Feral Axe              7la
Feral Claws            7lw
Flail                  fla
Flamberge              flb
Flanged Mace           9ma
Flying Axe             7ta
Flying Knife           7tk
Francisca              9ta
Fulminating Potion     opl
Fuscina                9tr
Ghost Glaive           7gl
Ghost Spear            7st
Ghost Wand             7yw
Giant Axe              gix
Giant Sword            gis
Giant Thresher         7wc
Gidbinn                g33
Gladius                9ss
Glaive                 glv
Glorious Axe           7gi
Glowing Orb            ob6
Gnarled Staff          cst
Gorgon Crossbow        6mx
Gothic Axe             9ga
Gothic Bow             8lw
Gothic Staff           8bs
Gothic Sword           9b9
